Transcript,C4H,C11L,C2H,C19L,C7H,C5H,C14L,C18L
TRINITY_DN0_c10_g1_i15,375,346,320,289,446,317,346,339
TRINITY_DN0_c15_g1_i2,129,496,170,157,195,209,210,199
TRINITY_DN0_c23_g1_i1,498,539,468,911,600,430,528,521
TRINITY_DN0_c34_g1_i15,244,308,354,280,401,198,208,320
TRINITY_DN0_c40_g1_i5,108,137,74,81,110,100,126,125
TRINITY_DN0_c50_g1_i16,132,196,46,104,120,78,354,66
TRINITY_DN0_c50_g1_i23,341,162,272,105,0,378,190,47
TRINITY_DN0_c50_g1_i3,165,101,87,49,0,59,73,0
TRINITY_DN0_c50_g1_i6,205,425,227,308,128,378,444,452
TRINITY_DN0_c64_g1_i1,62,89,40,46,53,90,61,78
TRINITY_DN0_c7_g2_i1,213,287,209,138,170,137,268,145
TRINITY_DN0_c7_g3_i1,327,363,290,225,532,534,452,257
TRINITY_DN10_c1_g1_i3,178,368,212,169,500,217,381,257
TRINITY_DN10_c2_g1_i4,400,548,679,731,297,898,396,527
TRINITY_DN10_c3_g1_i10,91,60,98,42,139,190,227,126
TRINITY_DN10_c3_g1_i12,210,428,133,151,134,297,84,178
TRINITY_DN100_c1_g1_i1,842,1170,604,1048,636,982,1014,764
TRINITY_DN1000_c0_g1_i15,2317,2548,2746,1308,2425,1928,2840,1594
TRINITY_DN1000_c0_g1_i19,55,11,67,59,5,20,14,17
TRINITY_DN10000_c0_g1_i1,605,747,407,463,891,437,626,635
TRINITY_DN10002_c0_g1_i12,230,291,206,98,122,219,297,121
TRINITY_DN100045_c0_g1_i3,3,0,6,0,5,4,0,3
TRINITY_DN100045_c0_g1_i6,121,90,93,75,61,71,53,92
TRINITY_DN10006_c0_g1_i3,18,68,26,32,61,49,246,50
TRINITY_DN10007_c0_g1_i16,7,6,18,0,10,9,5,0
TRINITY_DN10007_c0_g1_i17,0,48,97,10,111,97,25,134
TRINITY_DN10007_c0_g1_i4,73,0,0,91,6,0,0,0
TRINITY_DN10009_c0_g1_i1,0,0,1,14,0,0,4,0
TRINITY_DN10009_c0_g1_i2,395,607,751,721,479,611,518,635
TRINITY_DN100094_c0_g1_i1,5,0,0,0,0,0,0,0
TRINITY_DN100094_c0_g2_i2,2,4,4,12,0,5,5,2
