,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,CALUB,327.1559055,0.003498772,0.15843329,0.022083566,0.982381296,0.998211455
2,CHMP5,228.1478265,-0.075126319,0.145762199,-0.515403304,0.606271224,0.91677422
3,DNAL1,537.8659416,0.229127461,0.160358251,1.428847348,0.153048113,0.575609574
4,BTAF1,254.1927864,0.070625191,0.16980805,0.415911914,0.677474461,0.941397394
5,WDS,113.1998344,-0.178491006,0.111536262,-1.600295741,0.109532991,0.502091821
6,DGKZ,113.679136,-0.100838665,0.516361866,-0.195286816,0.845168418,0.981698616
7,DGKZ,149.3751098,-0.164367963,0.836703232,-0.196447147,0.844260197,0.981530064
8,DGKZ,50.17570491,0.234825888,0.716416968,0.327778234,0.743079346,0.963891497
9,DGKZ,225.0659656,0.417220547,0.312654378,1.334446523,0.182057562,0.614639555
10,FBSP1,66.97216652,0.202601334,0.148439495,1.364874851,0.172292388,0.602830238
11,PDC10,132.7346392,0.25606421,0.214613612,1.193140581,0.232814321,0.672790721
12,HLF,352.1959835,0.373713171,0.215937319,1.730655786,0.083513175,0.453931479
13,CAND,219.4786442,0.215414605,0.262493816,0.820646401,0.41184771,0.8192724
14,TIE2,507.0459708,0.569673871,0.25812597,2.206960698,0.027316805,0.284204881
15,RDH11,149.8534244,-0.416069973,0.307127349,-1.354714827,0.175508432,0.607078288
16,RDH11,192.7932364,0.43786887,0.351453245,1.245880856,0.212808139,0.650595755
17,ERH,1055.010453,-0.203353841,0.116740888,-1.741924744,0.081521614,0.450102273
18,PTPRF,1717.752558,0.39831235,0.195958551,2.032635715,0.04208934,0.336954733
19,PTPRK,34.42229043,0.002333895,0.523025924,0.004462294,0.996439616,0.999015911
20,AHR,563.0748635,0.268385213,0.165593942,1.62074295,0.105072778,0.496347077
21,GOGA3,182.7682807,-0.230073587,0.231946254,-0.991926287,0.321233485,0.75615942
22,IP6K1,2.333478531,0.461828909,1.366018093,0.338084035,0.735299861,0.961884171
23,IP6K1,94.22432231,-0.298726711,0.144283945,-2.070408536,0.038414103,0.324380477
24,CUBN,105.1620368,-1.509989101,0.430670844,-3.506132632,0.000454669,0.031945563
25,POL2,9.271215646,-0.839185981,0.705957363,-1.188720488,0.234549676,0.674730008
26,POL2,101.5084129,-0.612777072,0.763430782,-0.802662254,0.422169975,0.825638705
27,POL2,17.4329374,0.489390567,1.812391873,0.270024697,0.787141253,0.974324085
28,PR40A,1.895812863,2.247760189,1.807116313,1.243838138,0.213559141,0.650975579
29,PR40A,724.4549523,-0.315003737,0.10449611,-3.014502051,0.002574015,0.090165782
30,R213A,0.850845016,-2.299522099,3.781469714,-0.608102741,0.543119334,0.886022131
31,R213A,6.123560946,-0.54425892,0.563062673,-0.96660451,0.333741779,0.763552734
32,NEK4,1.288153701,0.60673015,1.350064247,0.449408353,0.653137107,0.932688828
33,NEK4,75.65038952,0.55514014,0.26676583,2.081001678,0.037433752,0.321776514
34,POLG,94.03026437,-0.603473132,0.454014739,-1.329192824,0.183784362,0.617256871
35,POLG,11.55742375,2.569398185,2.256264253,1.138784245,0.254793154,0.694190528
36,OTOP,37.76396135,-0.312248095,0.258535525,-1.207757016,0.22714074,0.666382674
37,FAK1,33.04826236,0.36757878,0.283345565,1.297280869,0.194534565,0.630256737
38,FAK1,754.8547428,0.072863418,0.102089956,0.713717795,0.4754017,0.855838561
39,DYHB,163.7468146,-0.167472696,0.235346114,-0.711601705,0.476711451,0.857052875
40,DYHC,439.4023411,0.132401014,0.163685523,0.80887431,0.418587447,0.82402405
41,DYHC,554.9408826,0.175699684,0.144568216,1.215341023,0.224236052,0.663704698
42,PKHM2,97.5596649,0.136505721,0.177857759,0.767499383,0.44278466,0.83836514
43,SAT2,0.165758016,-1.210800944,3.797202259,-0.318866592,0.749827679,0.966217564
44,MEX3B,414.3423224,0.166457757,0.085203765,1.953643201,0.050743428,0.369505075
45,IKKE,274.7779422,0.103483658,0.119134234,0.868630742,0.385049134,0.800290963
46,CHM6A,109.917634,-0.108770455,0.131628455,-0.826344542,0.408608673,0.817554366
47,ACE,0.220736398,-0.362749435,3.26261775,-0.111183553,0.911470793,0.99215154
48,MARH1,98.66195516,0.185150174,0.194584443,0.951515811,0.341342596,0.770374745
49,CATL,78.57999114,-6.260662536,3.557948877,-1.759626895,NA,NA
50,CATL,0.444211299,0.641174114,3.798458052,0.168798524,0.865955119,0.984931346
51,CATL,461.0631687,0.992863373,0.842109741,1.179018986,NA,NA
52,MPI,1.191462798,-3.696373434,1.844236663,-2.004283674,0.045039682,0.346973139
53,FCNV1,54.57307538,0.924802821,0.287927134,3.211933541,0.001318449,0.061343344
54,SPD2B,208.4752985,-0.29303686,0.679214312,-0.431435048,0.66615207,0.937729972
55,SPD2B,157.1425001,0.50387094,1.155627969,0.436014837,0.662825965,0.936364667
56,SPD2B,9.700539179,-1.051463442,0.490206648,-2.144939174,0.031957711,0.300854805
57,ALG14,28.91200531,-0.237250947,0.260510684,-0.910714842,0.362445642,0.784146719
58,RB,34.61341383,0.283698098,0.303259153,0.935497229,0.349532111,0.776650463
59,PNC1,32.92248616,0.22974315,0.225999296,1.016565777,0.309360042,0.745448369
60,PNC1,0.695837875,-3.060306608,1.717932262,-1.781389566,0.074848832,0.434357363
61,PHNX,69.24383195,-0.531494152,0.429434406,-1.237660851,0.215841841,0.653331753
62,PHNX,12.79708422,-1.053372873,1.804326505,-0.583803912,0.559352246,0.894584008
63,GALT5,7.184522658,-0.87788274,0.537533876,-1.633167283,0.102433819,0.49201818
64,GALT5,64.79060923,-0.209098429,0.259225148,-0.806628641,0.419880468,0.824443668
65,CENPS,3.810421342,-0.233024624,0.382318841,-0.609503376,0.542190835,0.885689367
66,SLBP1,89.52448413,-0.333822902,0.319180715,-1.045874285,0.295619078,0.732610911
67,ZN608,532.1006632,0.095345716,0.07883416,1.209446718,0.226491269,0.665493674
68,ARF1,3.235627144,-1.144465851,0.741498635,-1.543449708,0.122721701,0.527005727
69,ARF6,40.84900087,0.278813111,0.301720691,0.924076866,0.355446297,0.780225644
70,CNBD2,25.78469527,-3.565101357,1.990616664,-1.790953237,0.0733008,0.43152537
71,DNJA1,203.9539692,0.326276365,0.230717648,1.414180355,0.157308954,0.583237474
72,TUT7,281.1100646,-0.15081649,0.097966271,-1.539473625,0.123688712,0.528653705
73,UBP20,97.75063476,0.163268654,0.191828817,0.85111641,0.394704691,0.807528132
74,UBP20,102.7803362,0.0440903,0.219055256,0.201274785,0.840483717,0.980372959
75,NETR,43.26117513,-0.982959981,0.247870804,-3.965614203,7.32E-05,0.008354096
76,EPHX4,103.6505091,-0.195055104,0.16683827,-1.16912687,0.242352519,0.683525809
77,ULK2,139.7121595,0.208940138,0.231479467,0.902629252,0.366722696,0.787333547
78,CNFNA,329.1963673,-0.553268271,0.289713055,-1.909711215,0.056170406,0.386855603
79,FANCL,29.84065959,0.388545306,0.233252371,1.665772159,0.095758803,0.480406816
80,TMX1,224.0354904,-0.027900854,0.15627163,-0.178540753,0.858298319,0.983955037
81,DDC,0.285949584,-1.087247153,2.33686506,-0.465258851,0.641746099,0.928176972
82,CP2BA,1.383884812,0.674613034,0.822603332,0.820095187,0.412161846,0.819397113
83,CHIA,262.3568515,-0.08845028,0.216418793,-0.408699625,0.682760109,0.943425895
84,CHI10,1.208465145,-1.08161276,0.765968667,-1.412084863,0.157924975,0.583770788
85,CHIT1,475.8347145,0.041469298,0.196524553,0.211013318,0.832876879,0.980372959
86,ACT,1906.978339,-0.220882635,0.152814338,-1.445431349,0.148336763,0.570254911
87,LBR,3.808105164,1.066853469,0.608099457,1.754406219,0.079360926,0.444396593
88,RTBS,0.270891577,-0.914299915,3.796941817,-0.240799032,0.80971088,0.977412294
89,FNIP1,565.5394065,0.097753869,0.160314797,0.609761986,0.542019486,0.885673069
90,ACH10,3.594529148,-0.056706955,0.47723292,-0.118824483,0.905414411,0.990571706
91,EAA1,84.4058921,-0.414600787,0.316794915,-1.308735614,0.190623923,0.62509194
92,FBX47,2.866335497,-0.024031289,0.593514308,-0.040489822,0.967702621,0.998211455
93,LACT2,15.53419103,-1.161127904,0.383732738,-3.025876579,0.002479135,0.087974795
94,LACT2,1.032135299,1.470606515,1.353162434,1.086792301,0.277128611,0.717200113
95,PED1A,12.19643252,0.34597134,0.573784906,0.602963474,0.546532988,0.887019037
96,PXK,97.795849,0.200816615,0.166836407,1.203673821,0.228715674,0.667657111
97,PXK,40.24557564,-0.185900581,0.223575416,-0.831489367,0.405697233,0.816591849
98,ACADL,85.3159386,-0.049758484,0.147908591,-0.33641375,0.736558882,0.962216465
99,CALM,5.651777898,-0.328858451,0.502467585,-0.654486897,0.512798166,0.873545713
100,RM37,114.30041,-0.437185969,0.179244487,-2.439048341,0.014725998,0.213324565
101,LIPR1,15.1452998,0.953567461,0.93423613,1.020692125,0.307400327,0.744116768
102,FIG4,221.7972422,-0.03832833,0.103038916,-0.371979165,0.709908362,0.952810025
103,FIG4,69.24197825,-0.094651421,0.203036632,-0.466179036,0.641087354,0.928082065
104,HPDL,0.665598751,-1.462949525,1.749617545,-0.836153895,0.403068332,0.814855717
105,HPDL,27.73015161,-0.629590639,0.224331244,-2.806522298,0.005007945,0.129231565
106,SCP,290.8585817,0.177027813,0.349413105,0.506643314,0.612405111,0.918904334
107,SCP,10.61695487,-0.828377256,0.525076997,-1.577630064,0.114650622,0.511703153
108,SCP,322.6564947,0.796756187,0.369684204,2.155234596,0.031143481,0.297619905
109,SCP,86.7449554,-1.086358252,0.58607469,-1.853617416,0.063793914,0.407820523
110,MLRP1,3.41771163,1.714584186,0.898439814,1.908401831,0.0563393,0.38693339
111,IAN4,1.927234063,-4.190138308,3.762919103,-1.113533986,NA,NA
112,GAS6,33.45749138,-0.135357653,0.392872965,-0.344532877,0.730445576,0.959689879
113,GAS6,59.55431001,0.600252872,0.305502805,1.964803142,0.049437026,0.363723654
114,DNJB6,292.9214986,0.00762319,0.173042085,0.044053968,0.964861386,0.998211455
115,DNJB6,59.87066855,0.011114299,0.24308789,0.045721318,0.963532373,0.998211455
116,DNJB6,16.71204689,-0.626764331,0.445187358,-1.407866419,0.159170628,0.584961037
117,DNJB6,10.66611644,0.131909355,0.618268807,0.213352758,0.831051826,0.980372959
118,RXRA,122.219559,0.191759371,0.138543017,1.384114302,0.166323458,0.594732551
119,AUTS2,405.7470467,0.095323721,0.762681289,0.124985,0.900535425,0.990571706
120,AUTS2,330.5843275,0.194963297,1.113407654,0.175105045,0.860997095,0.984408274
121,CH074,183.939237,-0.324735137,0.132136735,-2.457568944,0.013988096,0.209744048
122,GNAS,6.075508439,0.027392098,0.494229111,0.055423887,0.955800766,0.997132192
123,PPA2,10.22796534,-0.642429756,0.582742589,-1.102424583,0.270277129,0.709547005
124,ORCT,1.466325026,-0.953182794,1.580561617,-0.603065887,0.546464859,0.887019037
125,ORCT,33.15559126,0.274624775,0.46531089,0.590196319,0.55505904,0.891796228
126,ORCT,15.87194322,-0.196201597,0.309542681,-0.633843436,0.526183003,0.879836615
127,ORCT,15.10302496,0.438581172,0.826074964,0.530921758,0.595472999,0.912521313
128,ORCT,1.552411344,2.243927759,1.695249824,1.323656094,0.185617287,0.619354321
129,HS12B,139.4524865,0.040162498,0.181748767,0.220978106,0.82510948,0.980372959
130,CLCN7,41.62018943,0.028652689,0.244912518,0.116991526,0.906866769,0.990571706
131,CLCN7,19.34381064,0.257244453,0.250079371,1.028651231,0.303643594,0.740734568
132,FLNC,20.94288311,-0.199246738,0.6234215,-0.319601967,0.749270083,0.966084321
133,FLNC,121.721385,0.110836377,0.255292023,0.434155271,0.664175692,0.93710304
134,FLNB,31.98393838,0.420339851,0.736268036,0.570906016,0.568063353,0.897542902
135,NELFA,477.3672497,0.040314398,0.110817296,0.363791572,0.716013657,0.954534797
136,ANKUB,570.1309488,0.124167843,0.124496842,0.997357372,0.318591075,0.754461219
137,CALMS,93.94704419,-0.117210278,0.149748539,-0.782713998,0.43379508,0.833292156
138,HDAC6,15.22000843,0.36376006,0.392658562,0.926402976,0.354236598,0.779530128
