,row,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,TRINITY_DN0_c10_g1_i15,CALUB,342.6357699,0.118313207,0.221723653,0.53360661,0.593613734,0.983129084
2,TRINITY_DN0_c15_g1_i2,CHMP5,207.7510961,-0.100383251,0.342449112,-0.293133336,0.769420237,0.997499899
3,TRINITY_DN0_c23_g1_i1,DNAL1,557.4059875,-0.195182275,0.289891119,-0.673295118,0.500759558,0.967106849
4,TRINITY_DN0_c34_g1_i15,BTAF1,287.2609771,-0.057942989,0.342867669,-0.168995195,0.865800421,0.998780975
5,TRINITY_DN0_c40_g1_i5,WDS,104.376625,0.238881702,0.204337016,1.169057408,0.242380503,0.8740306
6,TRINITY_DN0_c50_g1_i16,DGKZ,130.019822,0.392268315,0.603928811,0.649527406,0.515997538,0.970742494
7,TRINITY_DN0_c50_g1_i23,DGKZ,184.7760337,-0.635820375,1.473075662,-0.431627778,0.666011966,0.987741586
8,TRINITY_DN0_c50_g1_i3,DGKZ,65.00408591,-1.621432605,1.419210463,-1.142489184,0.253250739,0.87716891
9,TRINITY_DN0_c50_g1_i6,DGKZ,308.6135909,0.234058694,0.356871811,0.655862098,0.511912857,0.969043489
10,TRINITY_DN0_c64_g1_i1,FBSP1,62.54658676,0.308496508,0.278151119,1.109096771,0.267388438,0.882918402
11,TRINITY_DN0_c7_g2_i1,PDC10,189.8490597,-0.224667424,0.291833224,-0.769848687,0.441389655,0.952358963
12,TRINITY_DN0_c7_g3_i1,HLF,365.275973,0.537230086,0.251044596,2.139978691,0.032356489,0.518388783
13,TRINITY_DN10_c1_g1_i3,CAND,277.3953009,0.60354945,0.340412936,1.772992109,0.076230014,0.679987152
14,TRINITY_DN10_c2_g1_i4,TIE2,553.9795592,-0.141098163,0.399306762,-0.35335781,0.723820211,0.996289252
15,TRINITY_DN10_c3_g1_i10,RDH11,119.7115382,1.184895895,0.401907764,2.948178661,0.003196523,0.178460849
16,TRINITY_DN10_c3_g1_i12,RDH11,191.1223176,-0.315287647,0.35767352,-0.881495637,0.378049614,0.923687547
17,TRINITY_DN100_c1_g1_i1,ERH,855.9941215,-0.097433309,0.214365505,-0.454519533,0.649454936,0.986283006
18,TRINITY_DN1000_c0_g1_i15,PTPRF,2173.996245,-0.027924303,0.298039727,-0.093693224,0.925352853,0.999591056
19,TRINITY_DN1000_c0_g1_i19,PTPRK,32.13862656,-1.805346451,0.706560562,-2.555119191,0.010615144,0.317085707
20,TRINITY_DN10000_c0_g1_i1,AHR,586.8531803,0.268921159,0.256475994,1.048523701,0.294397388,0.896329987
