NAME,F37L,M54L,F35L,S70L,F33L,M50L,F31L,S69L,S65H,S59H,M45H,S71L,S73L,M47H,M55L,F28H,S67L,S63H,F26H,F24H,M51L,M53L,F36L,F34L,F30H,S64H,S66H,M48H,M44H,M46H,S74L,F29H,F27H,M56L,M42H,S62H,F11L,F19L,F7H,F5H,M11L,M19L,M7H,M5H,S11L,S19L,S7H,S5H
TRINITY_DN4084_c1_g1_i26,18.76205079,18.94141869,18.40724303,21.62928951,19.0672144,19.44577039,18.96524064,19.18441734,19.68529746,18.48876536,19.10874785,19.23471265,18.33855354,19.81058924,18.85233916,18.8636853,19.50853092,19.29736037,18.69232966,19.89938891,19.43090475,18.9042238,18.99474023,19.96614483,19.09773431,18.64865384,19.83140528,19.21815205,18.51960903,19.17901633,19.32007303,19.95207398,19.21831434,19.11442958,19.83628106,19.23628864,18.49363875,20.0547467,19.57027673,19.58468427,18.49363875,20.0547467,19.57027673,19.58468427,18.49363875,20.0547467,19.57027673,19.58468427
TRINITY_DN1781_c2_g1_i7,16.46057841,16.37910829,15.2119492,19.30426638,16.20846787,16.80622075,16.50428875,16.65920503,17.06733287,16.41826313,16.83482527,16.09263006,16.01013542,17.28418274,16.49525754,16.4328104,16.42941267,16.57065874,16.55776052,17.31210133,16.55335163,16.06727529,16.61681019,17.54035884,16.47940767,15.96634932,17.27072695,16.66035522,16.14272117,16.91630112,16.54029474,17.30372267,16.88650859,16.10353958,16.72822821,16.96272286,15.35219724,16.8178488,16.787919,16.8751723,15.35219724,16.8178488,16.787919,16.8751723,15.35219724,16.8178488,16.787919,16.8751723
TRINITY_DN622_c0_g1_i7,16.31245293,16.59147834,16.42473546,17.90448478,16.47667946,16.94619413,16.55166793,16.67400993,16.4805747,16.37894212,16.06403072,16.5154694,16.50399852,16.55312933,16.49301842,16.52871455,16.85908405,16.23799991,16.15016329,16.37919336,16.80341509,16.57897094,16.96905715,16.9163596,16.36585457,16.2057954,16.86858933,16.67226977,16.15538192,16.18618293,16.75027261,16.23616104,16.56979427,16.35947451,16.59671375,16.26948487,16.14180253,16.63562938,16.68032169,16.54891972,16.14180253,16.63562938,16.68032169,16.54891972,16.14180253,16.63562938,16.68032169,16.54891972
TRINITY_DN6279_c4_g1_i5,15.44347168,15.78775463,15.54394173,16.35825718,15.49094115,16.10086699,15.81357965,15.75762246,15.71884941,15.36341848,15.37683045,15.87927704,14.66982805,15.89015995,15.26380784,15.66515548,15.87925009,15.69462476,15.70414744,15.67010073,16.08663734,15.80753441,16.03778334,15.85028055,15.82856923,15.6543434,15.7964619,16.16143644,15.59562558,15.43613146,15.82598009,15.3339761,15.8328337,15.35333629,16.10510878,15.7956537,15.27252,15.83293395,15.93653551,15.86779014,15.27252,15.83293395,15.93653551,15.86779014,15.27252,15.83293395,15.93653551,15.86779014
TRINITY_DN4128_c0_g1_i2,15.05253029,15.52842087,14.64483339,16.25019489,15.43551424,15.44191923,14.98866023,15.4894287,14.93932444,15.31131073,15.09850053,15.31011919,15.30358069,15.39133519,15.27197847,15.63256825,15.82574747,14.83253483,15.43598386,14.87372245,15.56416185,15.19817132,15.46332865,15.48856675,15.00158589,14.82589207,15.5202764,14.90378336,15.41979263,15.32662168,15.46362454,15.18844153,15.58032814,15.33801149,15.28745706,15.13982368,14.92963369,15.4937976,14.88262991,15.7865342,14.92963369,15.4937976,14.88262991,15.7865342,14.92963369,15.4937976,14.88262991,15.7865342
TRINITY_DN694_c0_g1_i18,14.13120245,14.44588166,14.06457998,15.67385675,15.57235505,15.30796812,16.11910271,16.46681272,14.9925426,15.39703459,14.99824446,15.51170745,15.38603729,14.25040202,16.42953323,16.29150164,16.74074735,15.96810329,15.04492019,13.60397001,12.95519405,14.55887011,14.75942429,15.33746611,16.02605671,15.50524098,16.9051064,15.96647984,15.88463849,13.53699035,15.11200004,11.60953394,16.42950339,15.04651653,15.68734543,15.57952968,10.69398959,7.28094137,8.27392161,8.359674106,10.69398959,7.28094137,8.27392161,8.359674106,10.69398959,7.28094137,8.27392161,8.359674106
TRINITY_DN1531_c0_g1_i4,14.89718657,14.80786754,15.1745756,14.081378,14.41603633,15.0471457,14.72739807,14.47043672,14.85128998,14.92451876,14.88801598,14.60234781,14.64374949,14.47188479,14.73361867,14.64104251,14.24178009,14.86162233,14.52164575,15.29498764,15.0942345,14.78009184,15.10332161,15.17934194,15.1769766,15.03818009,14.62199918,15.37811608,14.06430568,14.88909357,14.73742544,14.54634398,14.6857146,14.70981232,15.39123774,15.04119065,14.72488615,15.09956639,15.09782745,15.44267479,14.72488615,15.09956639,15.09782745,15.44267479,14.72488615,15.09956639,15.09782745,15.44267479
TRINITY_DN7698_c2_g1_i5,14.48070926,14.87688455,14.9765895,15.07292529,14.58010548,15.64544746,14.789346,14.98925577,15.14577538,14.43913073,14.79965687,14.8563261,15.19700211,14.83033412,14.93099805,14.83185429,15.14747143,15.23916143,14.33852227,14.07758042,15.45229109,14.7355934,15.01794589,14.18101229,14.91479243,14.82843828,14.93672852,15.27752357,14.91282182,15.00208557,15.10706897,14.76153104,15.44546056,14.44556726,14.82351842,14.92961003,14.6607031,14.93641596,14.77583251,14.93838147,14.6607031,14.93641596,14.77583251,14.93838147,14.6607031,14.93641596,14.77583251,14.93838147
TRINITY_DN2321_c0_g1_i10,13.83523207,14.22064167,14.15086228,16.03852259,14.2445747,14.57729718,13.90077173,14.43415413,13.73882664,14.14369819,14.02064338,14.28300708,14.10128884,14.29257733,14.29179867,14.07509531,14.29078172,14.10376086,14.04709132,13.80508174,14.19672997,14.3979509,14.09064553,14.43213606,14.08479324,13.70200475,14.26893715,14.08580472,13.59759167,13.96237572,14.55122901,14.13144961,13.9287038,14.0503891,14.32444907,14.09094249,14.12107002,14.22402072,13.89910889,14.54307546,14.12107002,14.22402072,13.89910889,14.54307546,14.12107002,14.22402072,13.89910889,14.54307546
TRINITY_DN933_c0_g1_i1,13.79121266,14.13535194,14.08563721,15.80217632,14.25557568,14.38889094,14.45656358,14.73207603,13.83356856,14.27736495,14.08149353,14.19168405,14.23098123,14.38172116,14.2990095,14.21912873,14.10835227,14.2356821,13.77157578,14.05682196,13.79128631,14.33714605,14.03596723,14.50822609,14.26332319,13.69114337,14.85941937,14.10704459,13.4768071,14.07599401,13.91215287,14.13601185,14.36447378,13.79759862,14.22247371,13.9715511,13.64991837,13.98461397,14.23879419,14.46977125,13.64991837,13.98461397,14.23879419,14.46977125,13.64991837,13.98461397,14.23879419,14.46977125
