,diff,lwr,upr,p.adj
C_air:T0:L-C_water:T0:H,-0.271310568,-0.472358176,-0.070262961,0.000665837
F:T2:H-C_water:T0:H,-0.242119643,-0.431669145,-0.052570141,0.001746193
C_water:T0:H-C_air:T0:H,0.289344718,0.057194937,0.521494499,0.002618233
M:T2:L-C_water:T0:H,-0.225243095,-0.414792597,-0.035693593,0.005501262
S:T2:L-C_water:T0:H,-0.220348121,-0.421395728,-0.019300513,0.016961613
F:T1:L-C_water:T0:H,-0.204399136,-0.393948638,-0.014849634,0.020851145
S:T2:H-C_water:T0:H,-0.213665207,-0.425587993,-0.001742421,0.045771948
S:T1:H-C_water:T0:H,-0.206473924,-0.41839671,0.005448862,0.065535315
F:T2:L-C_water:T0:H,-0.184006694,-0.373556197,0.005542808,0.067968181
M:T2:H-C_water:T0:H,-0.177815393,-0.367364895,0.01173411,0.094422731
C_water:T0:L-C_water:T0:H,-0.210280726,-0.442430507,0.021869054,0.128613287
F:T1:H-C_water:T0:H,-0.164595886,-0.358826328,0.029634556,0.214924748
M:T1:L-C_air:T0:L,0.137885947,-0.026268738,0.302040631,0.228444884
S:T1:L-C_water:T0:H,-0.16425621,-0.365303818,0.036791397,0.273827747
C_air:T0:L-M:T1:H,-0.121737678,-0.271589717,0.028114361,0.28361255
M:T1:H-C_water:T0:H,-0.14957289,-0.339122392,0.039976612,0.336264897
M:T1:L-C_air:T0:H,0.155920096,-0.045127511,0.356967704,0.369301156
M:T1:H-C_air:T0:H,0.139771828,-0.049777674,0.32932133,0.470046397
M:T1:L-F:T2:H,0.108695022,-0.041157017,0.258547061,0.503631262
F:T2:H-M:T1:H,-0.092546753,-0.226578492,0.041484985,0.602866214
C_air:T0:L-F:T1:H,-0.106714682,-0.262445489,0.049016125,0.617750692
M:T1:L-C_water:T0:H,-0.133424622,-0.334472229,0.067622986,0.67824369
S:T1:L-C_air:T0:L,0.107054358,-0.057100326,0.271209042,0.70940543
F:T1:H-C_air:T0:H,0.124748832,-0.06948161,0.318979274,0.735404967
C_air:T0:L-M:T2:H,-0.093495176,-0.243347215,0.056356864,0.781227922
S:T1:L-C_air:T0:H,0.125088508,-0.0759591,0.326136115,0.785365239
M:T2:L-M:T1:L,-0.091818473,-0.241670512,0.058033566,0.807300615
M:T2:H-C_air:T0:H,0.111529325,-0.078020177,0.301078828,0.858306789
F:T2:L-C_air:T0:L,0.087303874,-0.062548165,0.237155913,0.86919695
M:T2:L-M:T1:H,-0.075670205,-0.209701943,0.058361533,0.8998641
F:T2:L-C_air:T0:H,0.105338024,-0.084211479,0.294887526,0.913085575
F:T2:H-F:T1:H,-0.077523757,-0.21809743,0.063049916,0.919013125
S:T2:L-M:T1:L,-0.086923499,-0.251078183,0.077231185,0.945382453
S:T1:L-F:T2:H,0.077863433,-0.071988606,0.227715472,0.955045444
M:T2:H-F:T2:H,0.064304251,-0.069727488,0.198335989,0.981728189
M:T1:L-F:T1:L,0.070974515,-0.078877524,0.220826554,0.984387029
S:T2:L-M:T1:H,-0.070775231,-0.22062727,0.079076808,0.984920645
M:T1:L-S:T2:H,0.080240586,-0.097066738,0.25754791,0.991277533
F:T1:L-C_air:T0:H,0.084945582,-0.10460392,0.274495084,0.992343946
