sample_no,heating_rate,tidal_height,time_point,experimental_day,sex,shell_length,average_weight,weight_before,weight_after,weight_loss,weight_loss_percent,osmolality,heart_rate,average_temp,temp_sd
77,C_air,L,T0,02/09/2020,F,43.4,6.2545,6.893,5.616,,,1053.3,0.2390057361,,
17,S,L,T2,31/08/2020,F,41.3,11.043,11.161,10.925,0.236,0.021145,1086.0,0.2278547248,,
86,M,L,T2,02/09/2020,F,36.8,6.3855,6.484,6.287,0.197,0.030382,1088.0,0.2469821973,,
140,C_water,L,T0,16/09/2020,F,40.7,7.4365,7.432,7.441,-0.009,-0.001211,949.0,,,
60,F,L,T2,01/09/2020,M,44.3,10.9845,11.065,10.904,0.161,0.014550,943.0,0.3080955245,,
25,M,H,T2,31/08/2020,F,42.9,7.8465,7.925,7.768,0.157,0.019811,987.0,0.2251614941,,
19,S,L,T2,31/08/2020,F,38.3,8.1825,8.258,8.107,0.151,0.018285,1024.0,0.2040353295,,
138,C_water,L,T0,16/09/2020,M,42.3,9.4805,9.478,9.483,-0.005,-0.000528,1003.0,0.2676907876,,
20,S,L,T1,31/08/2020,M,40.1,8.6205,8.693,8.548,0.145,0.016680,875.0,0.3230249625,,
56,F,H,T2,01/09/2020,M,38.5,5.7785,5.851,5.706,0.145,0.024782,998.0,0.2568714409,,
51,S,L,T1,01/09/2020,F,37.3,7.065,7.136,6.994,0.142,0.019899,1005.0,0.2625966159,,
135,C_water,H,T0,16/09/2020,F,38.8,5.329,5.33,5.328,0.002,0.000375,980.0,0.4053789266,,
47,S,H,T1,01/09/2020,M,40,6.169,6.235,6.103,0.132,0.021171,991.0,0.283201983,,
49,S,L,T2,01/09/2020,F,38.9,6.5885,6.652,6.525,0.127,0.019092,1005.0,0.3090905536,,
24,M,H,T1,31/08/2020,F,38.8,5.788,5.85,5.726,0.124,0.021197,971.0,0.2959837872,,
52,S,L,T2,01/09/2020,F,35.4,5.7995,5.86,5.739,0.121,0.020648,989.0,0.2334357575,,
83,M,H,T1,02/09/2020,M,42,7.8625,7.923,7.802,0.121,0.015272,1075.0,0.3172423133,,
15,S,H,T2,31/08/2020,M,38.1,5.204,5.261,5.147,0.114,0.021669,980.0,,,
149,C_water,H,T0,16/09/2020,F,40.2,8.04,8.044,8.036,0.008,0.000995,965.0,,27.7,0.479677165
133,C_water,H,T0,16/09/2020,M,37.9,6.39,6.395,6.385,0.01,0.001564,978.0,0.5225254977,,
151,C_air,H,T0,16/09/2020,F,43.3,7.7455,7.757,7.734,0.023,0.002965,964.0,0.145079193,25.1,0.192633994
28,M,L,T1,31/08/2020,F,37.5,6.181,6.232,6.13,0.102,0.016367,923.0,0.3808793793,,
23,M,H,T2,31/08/2020,F,37.3,6.339,6.39,6.288,0.102,0.015962,933.0,0.2832350009,,
45,S,H,T2,01/09/2020,F,37.1,5.825,5.874,5.776,0.098,0.016684,986.0,0.2075039936,,
85,M,L,T2,02/09/2020,M,38.9,9.207,9.255,9.159,0.096,0.010373,1079.0,0.1677093424,,
13,S,H,T1,31/08/2020,M,43.1,8.1605,8.208,8.113,0.095,0.011574,947.0,0.2507178599,,
159,C_water,L,T0,16/09/2020,F?,40.6,6.9365,6.949,6.924,0.025,0.003598,952.0,0.2396521839,26,0.371103924
95,F,L,T2,02/09/2020,M,40.6,7.859,7.906,7.812,0.094,0.011890,1047.0,0.3488141009,,
61,F,L,T2,01/09/2020,F,35.4,5.6675,5.714,5.621,0.093,0.016276,959.0,0.2573508401,,
30,M,L,T2,31/08/2020,F,35.9,5.7895,5.835,5.744,0.091,0.015596,959.0,0.156069349,,
84,M,H,T2,02/09/2020,F,36.6,5.4905,5.536,5.445,0.091,0.016438,1087.0,0.260961262,,
82,M,H,T2,02/09/2020,F,44,7.753,7.797,7.709,0.088,0.011286,1075.0,0.2138095238,,
58,F,H,T2,01/09/2020,F,36.2,5.562,5.605,5.519,0.086,0.015343,963.0,0.2350464121,,
16,S,H,T1,31/08/2020,M,37.7,6.512,6.553,6.471,0.082,0.012513,943.0,,,
14,S,H,T2,31/08/2020,F,38.4,5.396,5.436,5.356,0.08,0.014717,1006.0,0.2278456927,,
18,S,L,T1,31/08/2020,M,35.5,6.146,6.186,6.106,0.08,0.012932,891.0,0.255080381,,
59,F,L,T1,01/09/2020,F,37.4,6.6915,6.73,6.653,0.077,0.011441,954.0,0.2210520151,,
48,S,H,T1,01/09/2020,F,39.4,5.833,5.871,5.795,0.076,0.012945,960.0,0.238515023,,
5,C_air,H,T0,31/08/2020,M,39.4,6.201,6.239,6.163,0.076,0.012181,915.0,0.2041357954,,
98,F,L,T2,02/09/2020,F,37.8,5.78,5.816,5.744,0.072,0.012380,994.0,0.2816563835,,
113,F,H,T1,16/09/2020,M,39.1,7.055,7.072,7.038,0.034,0.004808,971.0,0.3248670418,,
92,F,H,T1,02/09/2020,F,36.6,4.6735,4.708,4.639,0.069,0.014656,1060.7,0.3137035344,,
46,S,H,T2,01/09/2020,F,37.6,5.715,5.749,5.681,0.068,0.011828,980.0,0.3155113283,,
57,F,H,T1,01/09/2020,F,39.3,6.324,6.357,6.291,0.066,0.010382,952.0,,,
87,M,L,T1,02/09/2020,F,34.9,6.7585,6.791,6.726,0.065,0.009571,1055.0,0.369449638,,
26,M,H,T1,31/08/2020,F,37.8,5.407,5.439,5.375,0.064,0.011767,923.0,0.2829880143,,
88,M,L,T1,02/09/2020,F,37.1,5.9275,5.959,5.896,0.063,0.010572,1055.0,0.3239982767,,
50,S,L,T1,01/09/2020,M,37.1,5.409,5.438,5.38,0.058,0.010666,966.0,0.3580820487,,
117,F,L,T1,16/09/2020,M,44.7,8.0315,8.05,8.013,0.037,0.004596,972.0,0.2652678901,,
81,M,H,T1,02/09/2020,F,37.9,5.02,5.047,4.993,0.054,0.010699,1077.0,0.2956268442,,
111,F,H,T1,16/09/2020,F,37,5.393,5.416,5.37,0.046,0.008493,959.0,0.1979386191,,
93,F,H,T2,02/09/2020,F,36.5,5.948,5.973,5.923,0.05,0.008371,970.3,0.2133619995,,
94,F,H,T2,02/09/2020,F,35.4,5.4365,5.461,5.412,0.049,0.008973,1044.7,0.1537195203,,
121,M,H,T1,16/09/2020,M,37.5,5.068,5.095,5.041,0.054,0.010599,964.0,0.4329182146,,
27,M,L,T2,31/08/2020,M,37.5,6.6925,6.715,6.67,0.045,0.006701,1000.0,0.31914783,,
62,F,L,T1,01/09/2020,M,36.6,6.252,6.274,6.23,0.044,0.007013,979.0,0.3861334018,,
97,F,L,T1,02/09/2020,M,38.3,6.1,6.122,6.078,0.044,0.007187,1053.0,0.182750898,,
7,C_air,L,T0,31/08/2020,M,43.3,7.941,7.962,7.92,0.042,0.005275,924.0,0.1818443716,,
96,F,L,T1,02/09/2020,F,38.1,6.212,6.232,6.192,0.04,0.006418,1078.0,0.2511429253,,
123,M,H,T1,16/09/2020,F,40.7,6.909,6.936,6.882,0.054,0.007785,985.0,0.2615167592,,
156,C_air,L,T0,16/09/2020,M,38,8.139,8.166,8.112,0.054,0.006613,959.0,0.1759014952,26.1,0.176221624
125,M,L,T2,16/09/2020,M,36.5,5.2635,5.291,5.236,0.055,0.010395,976.0,0.2297591407,,
116,F,L,T1,16/09/2020,M,42.1,10.523,10.559,10.487,0.072,0.006819,971.0,0.2509713251,,
128,M,L,T1,16/09/2020,M,36.4,6.146,6.182,6.11,0.072,0.011647,936.0,0.2477830686,,
29,M,L,T1,31/08/2020,F,35.9,5.9545,5.97,5.939,0.031,0.005193,939.0,,,
69,C_air,H,T0,02/09/2020,F,40.5,7.078,7.092,7.064,0.028,0.003948,1072.3,,,
118,F,L,T2,16/09/2020,M,36.5,5.532,5.573,5.491,0.082,0.014714,978.0,0.3095819385,,
124,M,H,T2,16/09/2020,F,39.6,5.6675,5.715,5.62,0.095,0.016623,1009.0,0.3921840809,,
