sample_no,heating_rate,tidal_height,time_point,experimental_day,sex,shell_length,average_weight,weight_before,weight_after,weight_loss,weight_loss_percent,osmolality,heart_rate,average_temp,temp_sd
1,C,H,T1_S,31/08/2020,F,39.8,6.4925,6.53,6.455,0.075,0.011485,991,,,
2,C,H,T2_S,31/08/2020,F,42.4,7.074,7.124,7.024,0.1,0.014037,923,,,
3,C,H,T2_M,31/08/2020,F,42.6,6.8185,6.84,6.797,0.043,0.006287,1017,,,
4,C,H,T1_M,31/08/2020,M,37.7,5.433,5.454,5.412,0.042,0.007701,932,,,
5,C,H,T0_air,31/08/2020,M,39.4,6.201,6.239,6.163,0.076,0.012181,915,0.2041357954,,
6,C,L,T1_S,31/08/2020,F,37,5.181,5.215,5.147,0.068,0.013039,987,,,
7,C,L,T0_air,31/08/2020,M,43.3,7.941,7.962,7.92,0.042,0.005275,924,0.1818443716,,
8,C,L,T2_S,31/08/2020,F,43.9,10.9645,11.077,10.852,0.225,0.020312,948,,,
9,C,L,T2_M,31/08/2020,F,37.4,5.8065,5.814,5.799,0.015,0.002580,935,,,
10,C,L,T1_M,31/08/2020,F,36.8,6.431,6.473,6.389,0.084,0.012977,910,,,
11,C,D,,31/08/2020,F,41.1,9.1075,9.148,9.067,0.081,0.008854,884,,,
12,C,D (H?),,31/08/2020,F,39.8,6.536,6.586,6.486,0.1,0.015184,1015,,,
13,S,H,T1,31/08/2020,M,43.1,8.1605,8.208,8.113,0.095,0.011574,947,0.2507178599,,
14,S,H,T2,31/08/2020,F,38.4,5.396,5.436,5.356,0.08,0.014717,1006,0.2278456927,,
15,S,H,T2,31/08/2020,M,38.1,5.204,5.261,5.147,0.114,0.021669,980,0.08826827519,,
16,S,H,T1,31/08/2020,M,37.7,6.512,6.553,6.471,0.082,0.012513,943,,,
17,S,L,T2,31/08/2020,F,41.3,11.043,11.161,10.925,0.236,0.021145,1086,0.2278547248,,
18,S,L,T1,31/08/2020,M,35.5,6.146,6.186,6.106,0.08,0.012932,891,0.255080381,,
19,S,L,T2,31/08/2020,F,38.3,8.1825,8.258,8.107,0.151,0.018285,1024,0.2040353295,,
20,S,L,T1,31/08/2020,M,40.1,8.6205,8.693,8.548,0.145,0.016680,875,0.3230249625,,
21,S,D (L?),,31/08/2020,F,42,6.2265,6.458,5.995,0.463,0.071694,926,,,
22,S,D,,31/08/2020,M,38.9,6.734,6.978,6.49,0.488,0.069934,975,,,
23,M,H,T2,31/08/2020,F,37.3,6.339,6.39,6.288,0.102,0.015962,933,0.2832350009,,
24,M,H,T1,31/08/2020,F,38.8,5.788,5.85,5.726,0.124,0.021197,971,0.2959837872,,
25,M,H,T2,31/08/2020,F,42.9,7.8465,7.925,7.768,0.157,0.019811,987,0.2251614941,,
26,M,H,T1,31/08/2020,F,37.8,5.407,5.439,5.375,0.064,0.011767,923,0.2829880143,,
