Transcript,Gene
TRINITY_DN0_c10_g1_i15,CALUB
TRINITY_DN0_c15_g1_i2,CHMP5
TRINITY_DN0_c23_g1_i1,DNAL1
TRINITY_DN0_c34_g1_i15,BTAF1
TRINITY_DN0_c40_g1_i5,WDS
TRINITY_DN0_c50_g1_i16,DGKZ
TRINITY_DN0_c50_g1_i23,DGKZ
TRINITY_DN0_c50_g1_i3,DGKZ
TRINITY_DN0_c50_g1_i6,DGKZ
TRINITY_DN0_c64_g1_i1,FBSP1
TRINITY_DN0_c7_g2_i1,PDC10
TRINITY_DN0_c7_g3_i1,HLF
TRINITY_DN10_c1_g1_i3,CAND
TRINITY_DN10_c2_g1_i4,TIE2
TRINITY_DN10_c3_g1_i10,RDH11
TRINITY_DN10_c3_g1_i12,RDH11
TRINITY_DN100_c1_g1_i1,ERH
TRINITY_DN1000_c0_g1_i15,PTPRF
TRINITY_DN1000_c0_g1_i19,PTPRK
TRINITY_DN10000_c0_g1_i1,AHR
TRINITY_DN10002_c0_g1_i12,GOGA3
TRINITY_DN100045_c0_g1_i3,IP6K1
TRINITY_DN100045_c0_g1_i6,IP6K1
TRINITY_DN10006_c0_g1_i3,CUBN
TRINITY_DN10007_c0_g1_i16,POL2
TRINITY_DN10007_c0_g1_i17,POL2
TRINITY_DN10007_c0_g1_i4,POL2
TRINITY_DN10009_c0_g1_i1,PR40A
TRINITY_DN10009_c0_g1_i2,PR40A
TRINITY_DN100094_c0_g1_i1,R213A
TRINITY_DN100094_c0_g2_i2,R213A
TRINITY_DN10012_c0_g1_i11,NEK4
TRINITY_DN10012_c0_g1_i15,NEK4
TRINITY_DN10014_c0_g1_i14,POLG
TRINITY_DN10014_c0_g1_i5,POLG
TRINITY_DN10016_c2_g1_i4,OTOP
TRINITY_DN10019_c0_g1_i10,FAK1
TRINITY_DN10019_c0_g1_i31,FAK1
TRINITY_DN1002_c0_g1_i14,DYHB
TRINITY_DN1002_c0_g1_i25,DYHC
TRINITY_DN1002_c0_g1_i29,DYHC
TRINITY_DN10021_c0_g1_i13,PKHM2
TRINITY_DN100216_c0_g2_i1,SAT2
TRINITY_DN10023_c0_g1_i13,MEX3B
TRINITY_DN10025_c0_g1_i9,IKKE
TRINITY_DN10026_c0_g1_i5,CHM6A
TRINITY_DN100271_c0_g1_i3,ACE
TRINITY_DN1003_c25_g1_i1,MARH1
TRINITY_DN10030_c0_g1_i3,CATL
TRINITY_DN10030_c0_g1_i7,CATL
TRINITY_DN10030_c0_g1_i9,CATL
TRINITY_DN100314_c0_g1_i2,MPI
TRINITY_DN10032_c0_g1_i5,FCNV1
TRINITY_DN10033_c0_g1_i11,SPD2B
TRINITY_DN10033_c0_g1_i3,SPD2B
TRINITY_DN10033_c0_g1_i7,SPD2B
TRINITY_DN10034_c1_g1_i1,ALG14
TRINITY_DN10034_c2_g1_i12,RB
TRINITY_DN100364_c0_g1_i6,PNC1
TRINITY_DN100364_c0_g1_i7,PNC1
TRINITY_DN10037_c0_g1_i1,PHNX
TRINITY_DN10037_c0_g1_i2,PHNX
TRINITY_DN10038_c0_g1_i13,GALT5
TRINITY_DN10038_c0_g1_i14,GALT5
TRINITY_DN1004_c26_g1_i1,CENPS
TRINITY_DN10040_c0_g1_i2,SLBP1
TRINITY_DN10048_c0_g1_i12,ZN608
TRINITY_DN10048_c1_g1_i10,ARF1
TRINITY_DN10048_c1_g1_i14,ARF6
TRINITY_DN100484_c0_g1_i2,CNBD2
TRINITY_DN10049_c0_g1_i1,DNJA1
TRINITY_DN1005_c2_g1_i4,TUT7
TRINITY_DN10050_c0_g1_i30,UBP20
TRINITY_DN10050_c0_g1_i32,UBP20
TRINITY_DN10053_c0_g1_i3,NETR
TRINITY_DN100543_c0_g1_i4,EPHX4
TRINITY_DN10057_c0_g1_i8,ULK2
TRINITY_DN10058_c0_g1_i3,CNFNA
TRINITY_DN10059_c1_g1_i5,FANCL
TRINITY_DN1006_c0_g1_i7,TMX1
TRINITY_DN100624_c0_g1_i3,DDC
TRINITY_DN100679_c0_g1_i1,CP2BA
TRINITY_DN1007_c0_g1_i12,CHIA
TRINITY_DN1007_c0_g2_i10,CHI10
TRINITY_DN1007_c0_g2_i2,CHIT1
TRINITY_DN100735_c0_g1_i4,ACT
TRINITY_DN100741_c0_g1_i2,LBR
TRINITY_DN100752_c0_g1_i1,RTBS
TRINITY_DN10077_c0_g1_i10,FNIP1
TRINITY_DN100784_c0_g1_i1,ACH10
TRINITY_DN10080_c0_g1_i7,EAA1
TRINITY_DN100837_c0_g1_i4,FBX47
TRINITY_DN100860_c0_g1_i3,LACT2
TRINITY_DN100860_c0_g1_i4,LACT2
TRINITY_DN100861_c0_g1_i3,PED1A
TRINITY_DN1009_c1_g2_i1,PXK
TRINITY_DN1009_c1_g2_i7,PXK
TRINITY_DN10091_c0_g1_i5,ACADL
TRINITY_DN100913_c0_g1_i1,CALM
TRINITY_DN10092_c0_g2_i1,RM37
TRINITY_DN100937_c0_g1_i2,LIPR1
TRINITY_DN10094_c0_g1_i12,FIG4
TRINITY_DN10094_c0_g1_i8,FIG4
TRINITY_DN100948_c1_g1_i1,HPDL
TRINITY_DN100948_c1_g1_i8,HPDL
TRINITY_DN10096_c0_g1_i10,SCP
TRINITY_DN10096_c0_g1_i11,SCP
TRINITY_DN10096_c0_g1_i12,SCP
TRINITY_DN10096_c0_g1_i3,SCP
TRINITY_DN100968_c0_g1_i4,MLRP1
TRINITY_DN100984_c0_g1_i2,IAN4
TRINITY_DN101_c1_g1_i25,GAS6
TRINITY_DN101_c1_g1_i27,GAS6
TRINITY_DN101_c2_g1_i2,DNJB6
TRINITY_DN101_c2_g1_i25,DNJB6
TRINITY_DN101_c2_g1_i30,DNJB6
TRINITY_DN101_c2_g1_i31,DNJB6
TRINITY_DN101_c3_g1_i11,RXRA
TRINITY_DN1010_c0_g1_i11,AUTS2
TRINITY_DN1010_c0_g1_i27,AUTS2
TRINITY_DN10100_c0_g1_i3,CH074
TRINITY_DN101004_c0_g1_i2,GNAS
TRINITY_DN101005_c0_g1_i2,PPA2
TRINITY_DN10102_c0_g1_i13,ORCT
TRINITY_DN10102_c0_g1_i15,ORCT
